Category: All categories

Month,Bankruptcy: (India),insolvency: (India),loan default: (India)
2012-05,36,6,6
2012-06,34,3,4
2012-07,32,6,4
2012-08,34,14,0
2012-09,44,15,4
2012-10,42,10,9
2012-11,31,11,4
2012-12,21,14,3
2013-01,40,8,5
2013-02,48,4,3
2013-03,39,10,4
2013-04,22,12,6
2013-05,15,5,7
2013-06,17,7,2
2013-07,49,22,4
2013-08,34,8,7
2013-09,15,10,4
2013-10,21,11,7
2013-11,20,8,2
2013-12,18,10,6
2014-01,19,12,4
2014-02,22,10,3
2014-03,27,7,2
2014-04,20,5,0
2014-05,11,10,2
2014-06,16,9,3
2014-07,22,6,7
2014-08,22,7,0
2014-09,25,11,2
2014-10,21,8,4
2014-11,18,19,6
2014-12,19,12,2
2015-01,15,11,7
2015-02,18,10,7
2015-03,29,17,5
2015-04,22,13,5
2015-05,23,11,5
2015-06,26,11,6
2015-07,29,10,2
2015-08,23,7,4
2015-09,22,14,4
2015-10,15,10,4
2015-11,26,10,2
2015-12,40,23,4
2016-01,31,18,5
2016-02,26,17,5
2016-03,33,22,5
2016-04,37,29,7
2016-05,76,43,4
2016-06,42,27,3
2016-07,33,28,4
2016-08,34,18,5
2016-09,59,18,5
2016-10,27,19,3
2016-11,35,35,4
2016-12,40,53,1
2017-01,42,38,2
2017-02,37,40,2
2017-03,42,51,2
2017-04,46,47,4
2017-05,47,58,4
2017-06,62,75,5
2017-07,58,85,3
2017-08,60,100,4
2017-09,70,95,4
2017-10,66,71,2
2017-11,67,100,6
2017-12,64,82,7
2018-01,51,85,4
2018-02,76,63,8
2018-03,68,80,5
2018-04,57,81,6
2018-05,60,77,5
2018-06,49,66,4
2018-07,44,56,3
2018-08,57,61,3
2018-09,74,55,4
2018-10,95,45,3
2018-11,83,46,1
2018-12,72,49,4
2019-01,72,57,6
2019-02,74,75,6
2019-03,58,54,4
2019-04,65,56,3
2019-05,76,53,5
2019-06,75,48,3
2019-07,64,45,3
2019-08,71,63,3
2019-09,92,68,5
2019-10,80,53,5
2019-11,91,69,5
2019-12,81,57,3
2020-01,70,63,4
2020-02,69,60,3
2020-03,52,51,6
2020-04,66,45,5
2020-05,80,50,6
2020-06,65,49,6
2020-07,72,65,4
2020-08,56,42,3
2020-09,58,54,7
2020-10,51,43,5
2020-11,44,38,6
2020-12,38,34,6
