Category: All categories

Month,Crisis: (India),Economic crisis: (India),Recession: (India),Financial Crisis: (India)
2012-04,62,3,15,3
2012-05,64,3,16,4
2012-06,71,5,20,6
2012-07,75,7,23,6
2012-08,75,5,21,5
2012-09,60,3,19,5
2012-10,62,2,15,5
2012-11,46,4,16,4
2012-12,63,2,10,5
2013-01,52,3,14,6
2013-02,59,2,14,5
2013-03,52,3,14,3
2013-04,50,3,12,5
2013-05,41,2,10,2
2013-06,43,3,9,2
2013-07,46,3,11,4
2013-08,79,9,15,6
2013-09,82,7,11,5
2013-10,53,4,11,6
2013-11,40,2,8,3
2013-12,35,1,8,3
2014-01,38,2,8,3
2014-02,42,2,7,3
2014-03,80,2,5,3
2014-04,48,2,4,3
2014-05,47,1,5,2
2014-06,69,2,4,3
2014-07,64,2,6,3
2014-08,51,1,6,4
2014-09,47,1,8,5
2014-10,40,3,6,3
2014-11,38,2,9,4
2014-12,47,2,8,3
2015-01,39,2,9,3
2015-02,43,3,8,3
2015-03,40,1,6,2
2015-04,50,2,5,2
2015-05,33,2,5,3
2015-06,69,4,6,5
2015-07,100,6,9,6
2015-08,50,3,9,4
2015-09,97,4,9,6
2015-10,48,2,5,3
2015-11,54,2,5,3
2015-12,44,2,7,2
2016-01,49,3,12,3
2016-02,52,3,9,3
2016-03,41,1,6,4
2016-04,46,2,7,3
2016-05,40,1,5,2
2016-06,47,2,7,3
2016-07,44,2,6,3
2016-08,39,2,8,2
2016-09,41,2,6,2
2016-10,35,1,5,2
2016-11,38,2,7,3
2016-12,36,1,5,2
2017-01,30,1,5,3
2017-02,35,1,5,2
2017-03,27,1,5,3
2017-04,29,<1,4,1
2017-05,29,1,7,2
2017-06,35,1,6,1
2017-07,35,1,4,2
2017-08,32,1,5,3
2017-09,71,2,7,2
2017-10,35,1,7,3
2017-11,44,2,6,2
2017-12,37,1,6,3
2018-01,35,2,5,2
2018-02,43,1,5,2
2018-03,38,1,5,2
2018-04,31,1,6,2
2018-05,29,1,4,1
2018-06,33,1,4,2
2018-07,31,2,5,1
2018-08,35,2,4,2
2018-09,34,2,6,4
2018-10,34,2,6,3
2018-11,27,1,6,2
2018-12,30,1,6,2
2019-01,28,1,6,2
2019-02,35,2,6,2
2019-03,31,1,5,2
2019-04,31,1,6,2
2019-05,32,1,4,2
2019-06,55,2,6,2
2019-07,65,2,7,2
2019-08,50,4,34,3
2019-09,48,5,30,3
2019-10,43,3,13,3
2019-11,41,3,13,3
2019-12,65,2,10,2
2020-01,53,1,9,2
2020-02,39,2,10,2
2020-03,74,3,38,4
2020-04,74,4,55,6
2020-05,67,3,21,5
2020-06,51,2,13,4
2020-07,51,2,9,3
2020-08,45,3,11,3
2020-09,41,3,11,3
2020-10,37,2,8,2
2020-11,37,3,20,3
2020-12,36,3,9,2
