Category: All categories

Month,jewellery: (India),wedding: (India),petrol price: (India),cinema: (India),power cut: (India)
2012-05,19,51,17,39,1
2012-06,17,50,8,45,1
2012-07,19,42,5,55,3
2012-08,20,39,4,49,1
2012-09,20,40,6,46,1
2012-10,20,77,4,42,3
2012-11,20,59,3,50,3
2012-12,20,58,3,44,2
2013-01,21,53,3,40,1
2013-02,21,50,4,42,1
2013-03,20,42,5,34,1
2013-04,26,50,6,39,1
2013-05,21,53,5,42,1
2013-06,20,41,5,47,1
2013-07,21,42,6,48,1
2013-08,21,42,7,52,1
2013-09,20,40,8,47,1
2013-10,23,45,6,40,1
2013-11,22,57,4,46,1
2013-12,20,49,4,47,1
2014-01,18,49,4,42,1
2014-02,19,54,4,34,1
2014-03,18,44,4,38,1
2014-04,19,49,4,40,1
2014-05,19,49,4,38,1
2014-06,18,44,4,42,1
2014-07,21,40,5,44,1
2014-08,24,50,6,45,1
2014-09,25,46,7,39,1
2014-10,28,48,8,50,1
2014-11,27,86,10,41,<1
2014-12,25,61,9,48,<1
2015-01,25,69,12,45,<1
2015-02,25,64,13,37,<1
2015-03,24,53,6,34,<1
2015-04,25,67,5,44,1
2015-05,22,65,8,47,1
2015-06,20,48,6,52,1
2015-07,20,51,6,59,<1
2015-08,21,44,8,57,<1
2015-09,23,47,7,52,1
2015-10,23,56,4,52,1
2015-11,25,69,6,54,<1
2015-12,24,72,7,53,<1
2016-01,22,68,6,44,<1
2016-02,22,69,5,40,1
2016-03,22,61,8,42,<1
2016-04,21,71,6,54,1
2016-05,19,68,6,49,1
2016-06,19,56,6,47,1
2016-07,20,62,6,53,<1
2016-08,20,53,6,43,<1
2016-09,22,54,7,42,<1
2016-10,23,57,6,45,<1
2016-11,20,81,7,42,<1
2016-12,20,71,8,48,<1
2017-01,20,62,7,51,<1
2017-02,20,67,5,46,<1
2017-03,19,51,7,44,<1
2017-04,20,60,8,71,1
2017-05,20,58,7,88,1
2017-06,19,46,11,57,1
2017-07,19,40,10,54,1
2017-08,20,41,8,61,1
2017-09,22,42,15,58,1
2017-10,26,53,12,70,1
2017-11,24,67,7,54,<1
2017-12,22,80,7,62,<1
2018-01,20,55,11,57,<1
2018-02,21,64,12,53,<1
2018-03,20,57,8,57,<1
2018-04,20,59,11,68,1
2018-05,16,79,24,73,1
2018-06,16,92,16,82,1
2018-07,18,49,9,83,1
2018-08,19,44,8,96,1
2018-09,17,40,31,94,1
2018-10,18,44,24,96,<1
2018-11,19,69,19,97,<1
2018-12,18,80,23,100,<1
2019-01,18,52,13,100,<1
2019-02,17,57,9,85,<1
2019-03,16,47,8,87,<1
2019-04,16,47,7,91,1
2019-05,16,49,9,80,1
2019-06,14,37,8,83,1
2019-07,15,32,9,83,1
2019-08,16,34,8,86,1
2019-09,17,36,10,79,1
2019-10,19,39,9,88,1
2019-11,18,56,8,71,<1
2019-12,18,51,8,62,<1
2020-01,17,50,11,65,<1
2020-02,18,57,12,53,1
2020-03,14,36,21,47,1
2020-04,8,34,12,39,1
2020-05,11,44,14,33,1
2020-06,14,40,28,30,1
2020-07,16,32,16,29,1
2020-08,18,35,13,27,1
2020-09,19,37,13,25,1
2020-10,24,53,11,24,3
2020-11,27,70,11,25,1
2020-12,23,64,15,23,1
