Category: All categories

Month,ESIC: (India),NREGA: (India),moratorium: (India),EMI: (India),Ration: (India)
2012-04,34,12,<1,19,5
2012-05,27,10,<1,21,6
2012-06,25,12,<1,20,6
2012-07,19,13,<1,20,6
2012-08,16,11,<1,23,9
2012-09,15,11,<1,22,8
2012-10,15,12,<1,22,8
2012-11,16,13,<1,23,8
2012-12,27,14,<1,21,7
2013-01,22,18,<1,26,9
2013-02,21,22,<1,27,9
2013-03,19,22,<1,27,8
2013-04,18,15,<1,28,5
2013-05,17,16,<1,27,6
2013-06,16,14,<1,23,7
2013-07,18,16,<1,24,7
2013-08,15,15,<1,24,6
2013-09,17,15,<1,24,8
2013-10,15,16,<1,24,6
2013-11,14,14,<1,22,8
2013-12,12,15,<1,21,7
2014-01,16,16,<1,21,7
2014-02,24,16,1,22,7
2014-03,15,15,<1,22,6
2014-04,14,11,<1,21,4
2014-05,14,12,<1,23,4
2014-06,14,13,<1,21,6
2014-07,16,16,<1,26,6
2014-08,15,13,<1,27,7
2014-09,17,17,<1,30,8
2014-10,14,11,<1,28,8
2014-11,16,13,<1,26,9
2014-12,14,14,1,27,12
2015-01,15,12,<1,28,15
2015-02,15,13,<1,26,23
2015-03,13,14,<1,26,53
2015-04,15,13,<1,26,32
2015-05,20,13,<1,23,20
2015-06,18,14,<1,25,12
2015-07,17,12,<1,25,14
2015-08,17,11,<1,24,18
2015-09,18,12,<1,26,16
2015-10,19,11,<1,28,14
2015-11,17,13,<1,26,14
2015-12,67,15,<1,26,15
2016-01,45,17,<1,22,22
2016-02,24,18,<1,22,26
2016-03,43,15,<1,23,21
2016-04,31,13,<1,23,13
2016-05,35,16,<1,22,19
2016-06,32,20,<1,24,17
2016-07,24,17,<1,24,15
2016-08,22,14,<1,25,17
2016-09,27,14,<1,26,18
2016-10,20,12,<1,29,21
2016-11,18,14,<1,23,16
2016-12,17,14,<1,21,20
2017-01,21,16,<1,24,21
2017-02,29,17,<1,25,18
2017-03,27,17,<1,25,14
2017-04,18,16,<1,23,16
2017-05,15,18,<1,24,16
2017-06,14,18,<1,22,16
2017-07,15,18,<1,23,16
2017-08,16,17,<1,25,16
2017-09,17,18,<1,30,17
2017-10,16,16,<1,32,14
2017-11,18,18,<1,28,15
2017-12,19,19,<1,27,16
2018-01,16,19,<1,27,17
2018-02,15,19,<1,27,17
2018-03,15,16,<1,26,15
2018-04,13,17,<1,24,14
2018-05,13,17,<1,23,15
2018-06,13,20,<1,24,16
2018-07,13,19,<1,23,20
2018-08,14,17,<1,28,20
2018-09,15,16,<1,25,22
2018-10,15,15,<1,27,18
2018-11,14,15,<1,22,17
2018-12,16,17,<1,22,20
2019-01,21,20,<1,23,26
2019-02,22,21,<1,22,27
2019-03,19,20,<1,22,18
2019-04,15,19,<1,20,13
2019-05,14,21,<1,22,12
2019-06,18,25,<1,21,18
2019-07,17,22,<1,24,24
2019-08,17,21,<1,26,27
2019-09,16,19,<1,30,32
2019-10,13,17,<1,31,21
2019-11,15,19,<1,25,27
2019-12,14,20,<1,25,24
2020-01,14,21,<1,25,26
2020-02,14,29,<1,26,28
2020-03,11,23,16,34,29
2020-04,7,29,35,33,100
2020-05,11,53,27,31,85
2020-06,11,67,28,35,52
2020-07,13,58,11,33,42
2020-08,12,39,13,36,35
2020-09,13,39,17,35,35
2020-10,12,34,10,35,28
2020-11,13,35,6,33,25
2020-12,13,37,3,32,33
