Category: All categories

Month,mba: (India),coursera: (India),certification: (India),tution: (India),online classes: (India)
2012-05,92,1,21,3,2
2012-06,97,1,23,4,2
2012-07,100,1,24,4,2
2012-08,83,2,23,3,2
2012-09,74,2,23,3,2
2012-10,66,2,19,3,1
2012-11,57,1,17,3,1
2012-12,63,2,19,3,2
2013-01,73,3,22,3,2
2013-02,76,4,23,3,2
2013-03,75,4,23,3,2
2013-04,68,4,21,4,2
2013-05,72,3,20,3,2
2013-06,81,4,21,4,2
2013-07,75,4,21,4,2
2013-08,62,4,20,3,2
2013-09,55,5,19,2,2
2013-10,52,5,19,3,2
2013-11,53,4,18,3,2
2013-12,48,3,16,3,2
2014-01,57,4,16,3,2
2014-02,55,4,16,3,2
2014-03,58,4,15,3,2
2014-04,54,4,15,4,2
2014-05,60,3,14,3,2
2014-06,65,4,16,4,2
2014-07,68,4,18,4,2
2014-08,55,4,17,3,2
2014-09,50,5,18,4,2
2014-10,43,4,15,3,2
2014-11,55,4,17,3,2
2014-12,51,4,18,3,2
2015-01,56,5,17,3,2
2015-02,55,5,17,3,2
2015-03,58,4,17,4,2
2015-04,56,4,17,4,2
2015-05,61,5,16,4,2
2015-06,65,5,18,4,3
2015-07,58,4,15,4,2
2015-08,49,4,14,4,2
2015-09,45,4,14,4,2
2015-10,38,4,14,4,2
2015-11,42,3,13,4,2
2015-12,45,4,14,4,2
2016-01,47,3,12,4,1
2016-02,50,3,14,4,2
2016-03,50,2,13,4,2
2016-04,51,3,12,5,2
2016-05,56,3,13,4,2
2016-06,61,3,13,5,2
2016-07,55,3,13,4,2
2016-08,45,3,13,4,2
2016-09,38,3,12,4,2
2016-10,29,2,10,4,1
2016-11,34,2,10,4,1
2016-12,33,2,10,4,2
2017-01,40,3,11,3,2
2017-02,45,3,11,3,2
2017-03,44,2,11,4,2
2017-04,39,2,11,4,2
2017-05,44,2,11,4,2
2017-06,47,2,11,4,2
2017-07,45,2,12,4,2
2017-08,35,3,11,4,2
2017-09,33,2,12,4,2
2017-10,31,2,11,4,1
2017-11,31,2,12,4,2
2017-12,30,2,11,3,2
2018-01,36,3,11,3,2
2018-02,34,3,11,3,2
2018-03,37,2,10,4,2
2018-04,32,2,10,4,2
2018-05,37,2,10,4,2
2018-06,41,2,11,5,2
2018-07,37,2,10,5,2
2018-08,27,2,10,4,2
2018-09,23,2,11,4,1
2018-10,20,2,9,3,1
2018-11,22,2,9,2,1
2018-12,23,2,9,2,1
2019-01,29,2,10,3,2
2019-02,28,2,10,3,1
2019-03,27,2,10,3,2
2019-04,26,2,9,3,2
2019-05,33,2,10,3,2
2019-06,34,3,10,3,2
2019-07,34,3,11,3,2
2019-08,29,3,11,3,2
2019-09,27,3,11,3,2
2019-10,21,2,10,3,2
2019-11,26,2,11,3,2
2019-12,25,3,11,3,2
2020-01,31,3,12,3,2
2020-02,32,3,12,3,2
2020-03,28,5,10,3,4
2020-04,23,12,14,2,16
2020-05,27,16,16,3,16
2020-06,27,13,13,3,17
2020-07,26,12,14,3,19
2020-08,27,9,12,3,16
2020-09,27,8,12,3,16
2020-10,24,4,10,3,11
2020-11,26,3,9,3,10
2020-12,29,3,11,3,9
