Category: All categories

Month,irctc: (India),app download: (India),comedy: (India),lottery: (India),goa: (India)
2012-05,87,2,10,4,14
2012-06,75,2,10,3,13
2012-07,76,2,10,2,11
2012-08,66,3,11,2,12
2012-09,70,3,10,2,13
2012-10,93,3,10,2,13
2012-11,100,3,10,3,13
2012-12,85,4,10,2,14
2013-01,86,4,10,3,15
2013-02,81,4,11,3,14
2013-03,75,4,12,3,14
2013-04,79,5,11,3,16
2013-05,96,5,11,4,21
2013-06,76,5,11,3,14
2013-07,67,5,12,3,12
2013-08,76,6,14,3,13
2013-09,82,6,17,4,13
2013-10,94,6,17,4,15
2013-11,90,6,17,5,15
2013-12,70,6,15,4,14
2014-01,63,7,16,4,13
2014-02,64,6,15,4,12
2014-03,70,7,15,4,12
2014-04,77,7,16,4,12
2014-05,75,6,14,5,12
2014-06,65,7,14,5,12
2014-07,62,7,16,5,12
2014-08,75,8,17,5,13
2014-09,71,8,16,6,15
2014-10,79,9,16,6,14
2014-11,64,9,16,7,15
2014-12,66,9,16,6,15
2015-01,63,9,15,7,15
2015-02,61,12,14,7,13
2015-03,64,12,14,7,13
2015-04,68,12,14,9,13
2015-05,72,13,14,9,14
2015-06,61,12,13,7,14
2015-07,50,12,13,7,12
2015-08,46,12,12,7,11
2015-09,44,14,13,9,13
2015-10,50,15,13,8,14
2015-11,57,14,14,9,15
2015-12,57,14,14,9,16
2016-01,40,12,15,12,14
2016-02,37,13,13,13,13
2016-03,42,13,12,12,13
2016-04,46,12,12,12,12
2016-05,44,12,12,12,15
2016-06,40,12,13,12,13
2016-07,37,13,13,12,12
2016-08,35,13,13,12,12
2016-09,35,14,15,12,13
2016-10,40,15,17,13,13
2016-11,38,15,17,10,14
2016-12,38,15,17,10,15
2017-01,37,13,17,12,14
2017-02,33,12,16,13,14
2017-03,31,11,17,14,15
2017-04,36,12,17,14,12
2017-05,40,11,15,14,13
2017-06,34,12,16,15,12
2017-07,30,11,18,16,12
2017-08,32,12,17,15,12
2017-09,36,13,12,19,13
2017-10,40,13,12,22,14
2017-11,34,12,12,23,14
2017-12,32,12,13,23,15
2018-01,29,12,14,25,15
2018-02,27,12,14,27,13
2018-03,27,12,18,29,13
2018-04,29,13,18,27,12
2018-05,28,12,21,26,13
2018-06,30,12,25,27,12
2018-07,22,11,27,29,11
2018-08,20,11,35,28,10
2018-09,17,11,36,29,10
2018-10,18,10,38,30,12
2018-11,18,11,36,33,12
2018-12,18,11,32,33,12
2019-01,19,10,31,33,12
2019-02,16,9,27,32,11
2019-03,15,10,26,31,12
2019-04,16,11,25,30,11
2019-05,17,10,24,30,12
2019-06,15,11,23,32,11
2019-07,13,10,20,33,10
2019-08,14,10,20,34,11
2019-09,14,10,21,38,11
2019-10,19,10,24,40,12
2019-11,16,10,23,42,12
2019-12,16,10,17,46,15
2020-01,15,10,14,47,13
2020-02,19,9,12,53,14
2020-03,14,12,13,38,10
2020-04,6,18,15,3,7
2020-05,16,16,13,3,7
2020-06,8,15,10,22,7
2020-07,6,16,10,35,7
2020-08,7,13,9,34,7
2020-09,9,16,8,39,7
2020-10,10,13,7,41,8
2020-11,12,13,7,50,12
2020-12,14,12,7,53,14
