Category: All categories

Month,Cement price: (India),real estate: (India),majdoor: (India),flats: (India),steel price: (India)
2012-05,3,50,<1,49,7
2012-06,3,48,<1,44,6
2012-07,3,51,<1,49,8
2012-08,3,50,<1,46,8
2012-09,4,50,<1,49,10
2012-10,4,45,<1,44,9
2012-11,3,42,<1,41,9
2012-12,4,45,<1,45,9
2013-01,4,48,<1,45,10
2013-02,4,51,<1,50,9
2013-03,4,49,<1,51,9
2013-04,3,46,<1,48,9
2013-05,4,47,<1,44,9
2013-06,3,46,<1,43,10
2013-07,3,47,<1,49,11
2013-08,3,48,<1,49,12
2013-09,5,46,<1,47,12
2013-10,3,45,<1,48,12
2013-11,3,42,<1,46,11
2013-12,3,34,<1,37,10
2014-01,2,37,<1,39,8
2014-02,3,39,<1,40,9
2014-03,3,35,<1,41,9
2014-04,4,33,<1,40,10
2014-05,4,35,<1,37,11
2014-06,5,36,<1,43,13
2014-07,5,36,<1,48,11
2014-08,5,38,<1,57,11
2014-09,6,40,<1,100,16
2014-10,4,37,<1,53,13
2014-11,5,38,<1,65,13
2014-12,6,35,<1,43,14
2015-01,7,35,<1,43,13
2015-02,7,33,<1,42,16
2015-03,7,32,<1,41,15
2015-04,7,33,1,42,13
2015-05,6,32,1,45,14
2015-06,6,31,<1,48,14
2015-07,5,29,<1,43,14
2015-08,5,27,<1,42,17
2015-09,7,28,<1,42,17
2015-10,6,26,<1,41,17
2015-11,6,26,<1,40,18
2015-12,7,29,1,43,18
2016-01,7,26,<1,41,18
2016-02,8,27,1,41,24
2016-03,8,30,<1,43,22
2016-04,9,26,<1,46,21
2016-05,8,27,<1,44,19
2016-06,9,26,1,45,18
2016-07,9,26,<1,44,21
2016-08,9,24,<1,43,18
2016-09,9,26,<1,44,17
2016-10,8,21,<1,36,17
2016-11,9,30,<1,33,16
2016-12,7,21,<1,28,12
2017-01,9,21,<1,32,17
2017-02,12,24,<1,40,19
2017-03,11,21,<1,40,18
2017-04,14,24,<1,39,18
2017-05,14,23,1,41,24
2017-06,11,24,<1,39,19
2017-07,14,24,<1,46,20
2017-08,11,23,<1,42,24
2017-09,12,24,<1,42,22
2017-10,13,24,<1,38,26
2017-11,16,27,<1,40,28
2017-12,13,23,<1,37,26
2018-01,17,23,<1,36,34
2018-02,13,22,<1,37,38
2018-03,11,20,<1,39,30
2018-04,11,20,<1,39,26
2018-05,11,19,1,38,27
2018-06,11,18,<1,40,25
2018-07,12,20,<1,37,24
2018-08,10,23,<1,33,24
2018-09,9,24,<1,31,22
2018-10,9,23,<1,30,23
2018-11,8,23,<1,29,21
2018-12,9,24,<1,29,22
2019-01,9,23,<1,31,22
2019-02,11,23,<1,33,23
2019-03,11,22,<1,35,19
2019-04,12,19,1,32,21
2019-05,13,21,1,32,22
2019-06,10,22,<1,33,18
2019-07,9,21,<1,34,20
2019-08,10,22,<1,33,21
2019-09,11,24,<1,35,22
2019-10,10,19,<1,29,22
2019-11,11,23,<1,33,24
2019-12,10,21,<1,30,25
2020-01,13,22,<1,31,25
2020-02,15,23,<1,35,24
2020-03,14,18,1,24,31
2020-04,16,16,1,16,30
2020-05,23,18,5,22,33
2020-06,24,19,1,28,39
2020-07,22,18,1,29,37
2020-08,18,19,<1,34,31
2020-09,17,21,<1,33,30
2020-10,20,20,<1,30,29
2020-11,21,22,<1,31,38
2020-12,25,21,<1,31,41
