date,Part time jobs,Online Jobs,Linkden,Resume,Naukri,Economic crisis,Crisis,Recession,Mandi,Financial crisis,NREGA,Moratorium,EMI,ESIC,Ration,Bankruptcy,Gold Loans,Interest rate,Home loan,Car loan,Personal loans,Cement price,Real Estate,Majdoor,Flats ,Steel prices,Mba,Coursera,Online classes,Tuition,Certification,Ndtv,Stock market,Business news,Elections,cricket,Irctc,Goa,App download,Comedy ,Lottery,Jewellery,Wedding,Petrol price,Cinema,power cut,Insolvency,Loan Default
2012-01-01,92,88,55,89,97,61,67,60,32,100,16,0,53,86,7,84,62,39,66,62,74,8,90,7,41,71,89,0,8,37,96,40,49,93,15,35,78,70,11,28,3,63,53,12,39,6,9,24
2012-02-01,90,83,71,100,97,67,79,46,34,87,17,0,55,38,5,65,100,36,64,83,87,10,90,7,43,87,91,0,8,38,96,45,55,86,39,62,79,65,11,26,3,71,72,11,33,30,3,75
2012-03-01,86,90,97,89,98,29,58,39,32,71,22,0,56,50,6,47,32,44,60,76,95,14,94,8,43,100,82,1,9,39,87,71,46,84,37,55,86,70,11,27,4,68,49,18,37,29,15,12
2012-04-01,81,81,96,85,93,34,48,29,39,41,18,1,53,49,5,28,47,42,70,72,70,9,85,1,45,93,86,6,11,43,91,48,40,63,8,33,83,60,13,28,5,71,53,16,41,27,11,24
2012-05-01,79,90,19,88,100,52,63,34,41,50,15,1,55,37,6,50,45,36,62,77,67,9,92,8,52,78,89,3,12,41,97,40,40,68,7,28,84,67,12,28,8,67,59,53,38,37,7,80
2012-06-01,100,95,76,89,99,100,70,45,41,61,17,0,56,38,6,35,50,36,59,83,79,14,88,1,45,81,100,6,11,54,97,41,40,72,21,12,75,60,13,29,5,62,58,25,44,25,12,68
2012-07-01,100,94,42,94,98,80,70,41,34,82,19,1,58,28,6,34,30,37,65,69,70,11,95,6,50,65,96,8,11,51,98,44,36,74,6,22,77,55,14,28,4,64,49,15,54,79,12,21
2012-08-01,92,88,64,84,97,39,59,45,38,72,17,1,60,21,9,45,47,34,62,79,86,14,88,2,52,53,80,12,10,45,91,49,39,86,4,24,67,60,16,29,3,70,42,11,49,28,7,21
2012-09-01,89,99,60,90,89,48,63,33,33,74,17,1,59,23,8,41,65,39,65,83,88,15,100,9,50,89,69,16,12,40,98,42,41,100,6,38,68,64,17,29,5,73,45,21,43,23,12,42
2012-10-01,77,83,39,77,83,40,57,35,39,76,18,1,67,21,8,38,44,37,64,83,100,13,87,5,46,83,64,15,11,36,87,44,43,68,9,24,93,65,17,28,4,78,86,14,42,100,6,10
